date,probability
1972-08-31,0.068388842153505
1972-09-30,0.08475118590618005
1972-10-31,0.08196711459574912
1972-11-30,0.07031258143429867
1972-12-31,0.04579673175225085
1973-01-31,0.017356070062304326
1973-02-28,0.010403763884686362
1973-03-31,0.02505983352293809
1973-04-30,0.020280884798829203
1973-05-31,0.021532384123750387
1973-06-30,0.030987468181349412
1973-07-31,0.03433079791263009
1973-08-31,0.03160288525323107
1973-09-30,0.0491601872395553
1973-10-31,0.05983548381847893
1973-11-30,0.08027035093416275
1973-12-31,0.10328495090731937
1974-01-31,0.13517716978223446
1974-02-28,0.1376847139397035
1974-03-31,0.2086513223486933
1974-04-30,0.25041076445054483
1974-05-31,0.23549748087656758
1974-06-30,0.4203107724812103
1974-07-31,0.5794159925565407
1974-08-31,0.6813628577162912
1974-09-30,0.6602189761841284
1974-10-31,0.45561238935558995
1974-11-30,0.630549453672366
1974-12-31,0.5292553782326375
1975-01-31,0.5511854059067145
1975-02-28,0.38756384533502997
1975-03-31,0.5463062282719691
1975-04-30,0.5690617537884334
1975-05-31,0.5250066565612227
1975-06-30,0.4472332733076303
1975-07-31,0.2955550072064048
1975-08-31,0.6029895638523102
1975-09-30,0.36610154599654127
1975-10-31,0.25648665718677427
1975-11-30,0.3056257564644161
1975-12-31,0.28664368041866284
1976-01-31,0.11534415304123388
1976-02-28,0.05138724782325077
1976-03-31,0.031914732751938416
1976-04-30,0.018279864151918988
1976-05-31,0.01275008339574142
1976-06-30,0.02094463926341735
1976-07-31,0.050588269169898975
1976-08-31,0.049577366689440114
1976-09-30,0.046360207732484796
1976-10-31,0.035746493135891816
1976-11-30,0.019578708897326588
1976-12-31,0.01982993636259153
1977-01-31,0.011657323552603573
1977-02-28,0.010915085458751625
1977-03-31,0.014764369171099665
1977-04-30,0.015352395127714859
1977-05-31,0.015689548357489633
1977-06-30,0.02338114208814615
1977-07-31,0.01839214019993114
1977-08-31,0.017451760815191102
1977-09-30,0.02092252675448035
1977-10-31,0.021359332795333207
1977-11-30,0.01958904665200025
1977-12-31,0.019738650141077237
1978-01-31,0.017991646424887705
1978-02-28,0.014695592048631214
1978-03-31,0.011649177590652765
1978-04-30,0.01219437438793169
1978-05-31,0.021088207474013316
1978-06-30,0.03016749744054122
1978-07-31,0.036087574974403416
1978-08-31,0.05003863348642629
1978-09-30,0.08148810731445855
1978-10-31,0.10071461521785993
