ticker,entry,notional,n_ins,csuite,ex20,ex60
DDOG,2022-11-09,49999939.6497,1,0,0.042063263653556504,0.0851345268797088
DDOG,2022-11-14,19999977.704499997,1,0,0.0030167972459083092,-0.0019769607024440194
DDOG,2022-12-02,1387393.1678,1,0,0.029048439183523733,0.014198763344879684
DDOG,2022-12-07,13326757.5588,1,0,-0.04771174071347628,0.0827848207869506
DLR,2022-05-20,629750.0,1,1,0.014790601179201612,-0.08654639844607592
DLR,2022-09-19,566100.0,1,1,-0.08802373936848262,-0.03507848047804296
DNA,2023-05-22,960000.0,2,0,0.13362194996022136,0.0244381123859041
DNA,2024-05-14,271815.4327,1,0,-0.44619464524772856,-0.7053506681369552
DNA,2024-05-16,514750.0,1,0,-0.4906555459193659,-0.6904477550162158
DUOL,2022-01-03,7323471.5,1,0,0.0021494435905259346,-0.08793035693588092
DUOL,2022-01-06,7976619.59,1,0,-0.05287193091821052,0.041831626902001484
DUOL,2022-01-11,11450188.62,1,0,-0.0005629104591571288,-0.031553073699700396
DUOL,2022-01-14,15330367.14,1,0,0.08261508296594144,0.05514565358838275
DUOL,2022-01-26,11289163.030000001,1,0,-0.054785206216432014,-0.04695799612868856
DUOL,2022-01-28,5216999.75,1,0,-0.04829130775142587,-0.0021647796855079893
DUOL,2022-02-01,2940683.7,1,0,-0.19589501262601483,-0.019810154573951633
DUOL,2022-02-03,5293438.9399999995,1,0,-0.08421588426381665,0.15106468161535325
DUOL,2022-02-07,13808919.81,1,0,-0.08187640370831428,0.023502062017762726
DUOL,2022-02-09,92616.0,1,0,-0.13713860532155897,-0.10515088660118288
DUOL,2022-02-23,9814135.95,1,0,0.09254895755646286,0.025604985753933884
DUOL,2022-03-09,12013725.969999999,1,0,0.14270299180776158,0.1549653658889265
DUOL,2022-03-11,4899378.84,1,0,0.16739000071664956,0.2807119779409708
DUOL,2022-03-15,1387539.36,1,0,0.32921737657055394,0.46971546323386915
DUOL,2022-04-07,15650065.82,1,0,-0.0800438106304735,0.15212193666979212
DUOL,2022-04-18,6529505.34,1,0,0.02994892227783219,0.17782004173963872
