ticker,etf
LIN,XLB
LINC,XLI
LINE,XLRE
LION,XLY
LITE,XLY
LIVN,XLV
LKNCY,XLY
LKQ,XLI
LLY,XLV
LLYVK,XLY
LMAT,XLV
LMND,XLF
LMT,XLI
LNC,XLF
LNG,XLU
LNT,XLU
LNTH,XLV
LOAR,XLI
LOGI,XLK
LOPE,XLI
LOW,XLY
LPG,XLI
LPLA,XLF
LPTH,XLK
LPX,XLI
LQDA,XLV
LRCX,XLI
LRN,XLI
LSCC,XLK
LSTR,XLI
LTH,XLY
LTM,XLI
LULU,XLY
LUMN,XLC
LUNR,XLK
LUV,XLI
LVS,XLY
LW,XLP
LWLG,XLB
LXP,XLRE
LYB,XLB
LYFT,XLI
LYG,XLF
LYV,XLY
M,XLY
MA,XLI
MAA,XLRE
MAC,XLRE
MAN,XLI
MANH,XLK
MAR,XLY
MARA,XLF
MAS,XLI
MAT,XLY
MATX,XLI
MBLY,XLK
MBX,XLV
MC,XLF
MCD,XLY
MCHP,XLK
MCK,XLI
MCO,XLI
MCY,XLF
MDB,XLK
MDGL,XLV
MDLZ,XLP
MDT,XLV
MDU,XLB
MEDP,XLV
MELI,XLI
MEOH,XLB
MET,XLF
META,XLK
MFC,XLF
MFG,XLF
MGA,XLY
MGM,XLY
MGNI,XLK
MGY,XLE
MHK,XLY
MHO,XLI
MIAX,XLF
MIDD,XLI
MIR,XLK
MIRM,XLV
MKC,XLP
MKL,XLF
MKSI,XLK
MKTX,XLF
MLI,XLB
MLM,XLB
MLYS,XLV
MMM,XLV
MMS,XLI
MMSI,XLV
MMYT,XLI
MNDY,XLK
MNST,XLP
MO,XLP
MOD,XLY
MOH,XLV
MORN,XLF
MOS,XLB
MP,XLB
MPC,XLE
MPLX,XLE
MPWR,XLK
MRAM,XLK
MRCY,XLK
MRK,XLV
MRNA,XLV
MRP,XLRE
MRVL,XLK
MRX,XLF
MS,XLF
MSA,XLV
MSCI,XLI
MSFT,XLK
MSGE,XLY
MSGS,XLY
MSI,XLY
MSM,XLI
MSTR,XLF
MT,XLB
MTB,XLF
MTCH,XLK
MTD,XLK
MTDR,XLE
