ticker,name,gics_sector,source,rank
ALB,Albemarle Corporation,Materials,SP500,221
AMCR,Amcor,Materials,SP500,222
AVY,Avery Dennison,Materials,SP500,223
BALL,Ball Corporation,Materials,SP500,224
CF,CF Industries,Materials,SP500,225
CTVA,Corteva,Materials,SP500,226
CRH,CRH plc,Materials,SP500,227
DOW,Dow Inc.,Materials,SP500,228
DD,DuPont,Materials,SP500,229
ECL,Ecolab,Materials,SP500,230
FCX,Freeport-McMoRan,Materials,SP500,231
IFF,International Flavors & Fragrances,Materials,SP500,232
IP,International Paper,Materials,SP500,233
LYB,LyondellBasell,Materials,SP500,234
MLM,Martin Marietta Materials,Materials,SP500,235
MOS,Mosaic Company (The),Materials,SP500,236
GOOGL,Alphabet Inc. (Class A),Communication Services,SP500,237
T,AT&T,Communication Services,SP500,238
CMCSA,Comcast,Communication Services,SP500,239
SATS,EchoStar,Communication Services,SP500,240
EA,Electronic Arts,Communication Services,SP500,241
FOXA,Fox Corporation (Class A),Communication Services,SP500,242
FOX,Fox Corporation (Class B),Communication Services,SP500,243
LYV,Live Nation Entertainment,Communication Services,SP500,244
NWSA,News Corp (Class A),Communication Services,SP500,245
NWS,News Corp (Class B),Communication Services,SP500,246
OMC,Omnicom Group,Communication Services,SP500,247
PSKY,Paramount Skydance Corporation,Communication Services,SP500,248
ACN,Accenture,Information Technology,SP500,249
ADBE,Adobe Inc.,Information Technology,SP500,250
AKAM,Akamai Technologies,Information Technology,SP500,251
APH,Amphenol,Information Technology,SP500,252
ADI,Analog Devices,Information Technology,SP500,253
APP,AppLovin,Information Technology,SP500,254
CDNS,Cadence Design Systems,Information Technology,SP500,255
CDW,CDW Corporation,Information Technology,SP500,256
CIEN,Ciena,Information Technology,SP500,257
CSCO,Cisco,Information Technology,SP500,258
CTSH,Cognizant,Information Technology,SP500,259
COHR,Coherent Corp.,Information Technology,SP500,260
