ticker,horizon,n_folds,accuracy_mean,accuracy_std,auc_mean,brier_mean,buy_hit_55_mean,buy_n_55_total,pos_rate_mean
ASML,5,24,0.5265,0.1413,0.527,0.2698,0.602,805,0.5668
CEG,5,8,0.5337,0.0813,0.5252,0.2836,0.6082,181,0.5397
VST,5,24,0.5509,0.1118,0.5363,0.2756,0.5616,949,0.5635
LIN,5,21,0.551,0.149,0.5601,0.2715,0.6386,783,0.5661
MRVL,5,24,0.5073,0.0963,0.5636,0.2722,0.6038,686,0.5317
CLS,5,24,0.5344,0.1237,0.5442,0.2659,0.5522,826,0.5615
SYM,5,7,0.5261,0.095,0.5675,0.3097,0.513,104,0.5261
MNDY,5,11,0.5079,0.0981,0.5403,0.2634,0.5313,269,0.4791
FVRR,5,19,0.4937,0.1117,0.5279,0.2718,0.4131,351,0.4419
APD,5,24,0.5252,0.0935,0.5169,0.268,0.5325,808,0.5351
EME,5,24,0.5655,0.1387,0.5457,0.2883,0.6743,930,0.5866
