n_train,n_calib,n_test,accuracy,roc_auc,log_loss,brier,pos_rate,buy_hit_50,buy_n_50,buy_hit_55,buy_n_55,buy_hit_60,buy_n_60,ticker,horizon,fold,train_end_idx,test_start_idx
956,240,63,0.5397,0.5304,0.9118,0.2533,0.4603,0.5,22,0.5,22,0.6667,3,ADSK,1,11,1196,1197
1007,252,63,0.5079,0.5877,0.6891,0.2478,0.4921,0.5,2,0.0,1,0.0,1,ADSK,1,12,1259,1260
1057,265,63,0.5238,0.5398,0.7362,0.2685,0.5556,0.6923,13,,0,,0,ADSK,1,13,1322,1323
1108,277,63,0.5397,0.4924,0.7252,0.2621,0.4921,0.6667,6,1.0,1,,0,ADSK,1,14,1385,1386
1158,290,63,0.5873,0.5064,0.6952,0.251,0.619,0.6226,53,,0,,0,ADSK,1,15,1448,1449
1208,303,63,0.4762,0.4878,1.1853,0.2778,0.4444,0.4444,45,,0,,0,ADSK,1,16,1511,1512
1259,315,63,0.5079,0.4909,0.6971,0.252,0.5397,0.5263,57,0.5357,56,,0,ADSK,1,17,1574,1575
1309,328,63,0.619,0.5288,0.681,0.2439,0.619,0.619,63,,0,,0,ADSK,1,18,1637,1638
1360,340,63,0.5873,0.5125,0.6716,0.2408,0.5873,0.5932,59,0.5932,59,,0,ADSK,1,19,1700,1701
1410,353,63,0.4444,0.4934,0.9433,0.2672,0.4444,0.4407,59,,0,,0,ADSK,1,20,1763,1764
1460,366,63,0.5397,0.4439,0.6822,0.2461,0.5238,0.5323,62,0.3,10,,0,ADSK,1,21,1826,1827
1511,378,63,0.4921,0.5,0.697,0.2519,0.4921,0.4921,63,,0,,0,ADSK,1,22,1889,1890
1561,391,63,0.5238,0.5091,0.6919,0.2494,0.5238,0.5238,63,,0,,0,ADSK,1,23,1952,1953
1612,403,63,0.4921,0.4097,1.418,0.2851,0.5397,0.5167,60,,0,,0,ADSK,1,24,2015,2016
402,101,63,0.4921,0.4286,4.4868,0.4098,0.4444,0.4474,38,0.4474,38,0.32,25,AI,1,0,503,504
452,114,63,0.5397,0.4711,0.7082,0.2572,0.4603,0.5,6,,0,,0,AI,1,1,566,567
503,126,63,0.5714,0.4856,0.6835,0.2452,0.4286,,0,,0,,0,AI,1,2,629,630
553,139,63,0.5873,0.4684,0.6837,0.2443,0.3968,0.0,1,,0,,0,AI,1,3,692,693
604,151,63,0.4444,0.431,3.1365,0.3791,0.4603,0.3636,22,0.3333,21,0.3,20,AI,1,4,755,756
654,164,63,0.4921,0.5323,0.6986,0.2528,0.5079,,0,,0,,0,AI,1,5,818,819
704,177,63,0.5079,0.5394,1.1617,0.2665,0.4762,0.3333,3,,0,,0,AI,1,6,881,882
755,189,63,0.381,0.4678,0.7108,0.2588,0.4127,0.3488,43,,0,,0,AI,1,7,944,945
805,202,63,0.5556,0.5403,0.6774,0.2437,0.4444,,0,,0,,0,AI,1,8,1007,1008
856,214,63,0.4444,0.5396,0.7236,0.2637,0.5397,0.0,1,,0,,0,AI,1,9,1070,1071
906,227,63,0.5556,0.5309,0.6729,0.2406,0.4286,0.3333,3,0.3333,3,0.3333,3,AI,1,10,1133,1134
956,240,63,0.4921,0.5454,0.7157,0.2604,0.5079,,0,,0,,0,AI,1,11,1196,1197
1007,252,63,0.4921,0.5182,0.7213,0.2633,0.5238,0.5714,7,0.5,6,,0,AI,1,12,1259,1260
1057,265,63,0.4921,0.4843,0.6974,0.2521,0.5238,0.5111,45,,0,,0,AI,1,13,1322,1323
1108,277,63,0.5238,0.5464,0.6787,0.2431,0.5079,1.0,2,1.0,2,1.0,2,AI,1,14,1385,1386
1158,290,63,0.3968,0.4779,0.6931,0.25,0.3968,0.3968,63,0.6667,3,,0,AI,1,15,1448,1449
1208,303,63,0.5556,0.5333,0.7004,0.2532,0.4762,0.75,4,0.0,1,0.0,1,AI,1,16,1511,1512
1259,315,63,0.4444,0.4536,0.7003,0.2536,0.4921,0.4231,26,0.5556,9,,0,AI,1,17,1574,1575
1309,328,63,0.3968,0.4937,0.7049,0.2558,0.6032,,0,,0,,0,AI,1,18,1637,1638
1360,340,63,0.4762,0.4681,0.7134,0.2595,0.4603,0.3333,12,0.3333,12,0.4444,9,AI,1,19,1700,1701
1410,353,63,0.6508,0.5481,0.7167,0.2516,0.381,0.75,4,0.75,4,0.75,4,AI,1,20,1763,1764
1460,366,63,0.5556,0.551,0.6914,0.2491,0.4444,0.5,6,0.4,5,0.0,2,AI,1,21,1826,1827
1511,378,63,0.5556,0.5071,0.6887,0.2478,0.4444,0.5,8,,0,,0,AI,1,22,1889,1890
1561,391,63,0.5079,0.4111,0.9452,0.2665,0.4762,0.4286,7,0.4286,7,0.4286,7,AI,1,23,1952,1953
402,101,63,0.4444,0.5959,3.4492,0.3418,0.4444,0.4444,63,0.5161,31,0.5161,31,ALK,1,0,503,504
452,114,63,0.4603,0.4793,1.5862,0.2737,0.5079,0.4615,26,0.6429,14,0.6923,13,ALK,1,1,566,567
503,126,63,0.5079,0.4369,0.72,0.2601,0.5238,0.52,50,1.0,1,1.0,1,ALK,1,2,629,630
553,139,63,0.5238,0.5505,0.6689,0.2423,0.5238,0.5455,33,,0,,0,ALK,1,3,692,693
604,151,63,0.4921,0.5554,0.704,0.2554,0.5079,0.5,8,0.5714,7,,0,ALK,1,4,755,756
654,164,63,0.4286,0.5078,0.7127,0.2597,0.4127,0.4167,60,0.4167,60,,0,ALK,1,5,818,819
704,177,63,0.4762,0.5233,0.7005,0.2536,0.4603,0.4655,58,,0,,0,ALK,1,6,881,882
755,189,63,0.5714,0.518,0.6878,0.2473,0.4286,0.5,2,,0,,0,ALK,1,7,944,945
805,202,63,0.4921,0.4783,0.7248,0.2614,0.5079,0.5,2,0.5,2,0.5,2,ALK,1,8,1007,1008
856,214,63,0.5079,0.5245,0.6864,0.2467,0.4444,0.3846,13,,0,,0,ALK,1,9,1070,1071
906,227,63,0.4762,0.5725,0.7244,0.2595,0.5397,0.6,5,0.75,4,,0,ALK,1,10,1133,1134
956,240,63,0.3651,0.4589,1.6938,0.3144,0.619,0.4,5,0.4,5,0.4,5,ALK,1,11,1196,1197
1007,252,63,0.4603,0.4959,0.7139,0.2602,0.4444,0.4464,56,0.4464,56,0.4545,11,ALK,1,12,1259,1260
1057,265,63,0.5079,0.5242,0.6903,0.2486,0.5238,0.6,10,0.6,10,,0,ALK,1,13,1322,1323
1108,277,63,0.3333,0.5556,3.8601,0.4152,0.3333,0.3333,63,0.3778,45,0.3778,45,ALK,1,14,1385,1386
1158,290,63,0.4603,0.4607,0.696,0.2515,0.5556,0.5161,31,,0,,0,ALK,1,15,1448,1449
1208,303,63,0.5397,0.5485,0.6769,0.2437,0.5556,0.5938,32,0.6,5,0.75,4,ALK,1,16,1511,1512
1259,315,63,0.381,0.3691,1.0238,0.2896,0.381,0.2414,29,0.2778,18,0.2667,15,ALK,1,17,1574,1575
1309,328,63,0.4286,0.5448,0.7016,0.2542,0.5714,0.5,2,,0,,0,ALK,1,18,1637,1638
1360,340,63,0.4286,0.4275,2.4193,0.3497,0.5714,,0,,0,,0,ALK,1,19,1700,1701
1410,353,63,0.4444,0.5,0.6945,0.2507,0.4444,0.4444,63,,0,,0,ALK,1,20,1763,1764
1460,366,63,0.5079,0.5112,0.6938,0.2503,0.5397,0.5652,23,,0,,0,ALK,1,21,1826,1827
