CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CFE data is subject to the Terms and Conditions of CBOE's Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
11/24/2015,F (Jan 16),17.85,18.57,17.78,18.30,18.3250,0.50,47031,0,58932
11/25/2015,F (Jan 16),18.30,18.45,17.75,17.75,17.7750,-0.55,42814,0,66875
11/27/2015,F (Jan 16),17.80,18.05,17.55,18.05,18.0250,0.25,26425,0,70780
11/30/2015,F (Jan 16),18.00,18.15,17.75,17.80,17.7750,-0.25,40487,0,77162
12/01/2015,F (Jan 16),17.80,17.82,17.00,17.10,17.1250,-0.65,60433,0,91667
12/02/2015,F (Jan 16),17.15,17.83,16.90,17.55,17.5750,0.45,71544,0,96394
12/03/2015,F (Jan 16),17.60,19.10,17.15,18.50,18.5250,0.95,103054,0,105641
12/04/2015,F (Jan 16),18.54,18.55,17.25,17.30,17.3250,-1.20,94936,0,110976
12/07/2015,F (Jan 16),17.30,18.27,17.13,17.50,17.5250,0.20,59977,0,111434
12/08/2015,F (Jan 16),17.55,18.57,17.47,18.30,18.3250,0.80,76743,1000,116468
12/09/2015,F (Jan 16),18.35,19.34,17.79,19.02,19.0250,0.70,98317,0,122499
12/10/2015,F (Jan 16),19.00,19.23,18.35,19.10,19.1250,0.10,72619,0,130949
12/11/2015,F (Jan 16),19.15,22.00,18.85,21.95,21.9250,2.80,187605,0,142341
12/14/2015,F (Jan 16),22.05,22.43,19.80,20.42,20.4250,-1.50,174688,1957,152861
12/15/2015,F (Jan 16),20.40,20.50,18.85,18.90,18.8750,-1.55,118255,0,156638
12/16/2015,F (Jan 16),18.90,19.00,17.55,18.10,18.1250,-0.75,135461,0,152998
12/17/2015,F (Jan 16),18.10,19.30,17.65,19.30,19.2750,1.15,118506,0,140285
12/18/2015,F (Jan 16),19.20,20.50,18.95,20.40,20.4250,1.15,141283,0,141009
12/21/2015,F (Jan 16),20.40,20.40,18.80,18.81,18.8250,-1.60,87439,0,133797
12/22/2015,F (Jan 16),18.85,19.20,17.75,17.85,17.8250,-1.00,87957,0,134139
12/23/2015,F (Jan 16),17.85,18.20,17.30,17.90,17.8750,0.05,85650,0,136881
12/24/2015,F (Jan 16),17.85,18.25,17.80,18.25,18.2250,0.35,27700,0,131161
12/28/2015,F (Jan 16),18.15,18.88,17.80,17.80,17.8250,-0.40,65767,0,124531
12/29/2015,F (Jan 16),17.85,18.00,17.45,17.50,17.4750,-0.35,61572,0,125719
12/30/2015,F (Jan 16),17.50,18.40,17.40,18.30,18.3500,0.88,50902,0,114355
12/31/2015,F (Jan 16),18.35,18.73,18.05,18.50,18.5250,0.18,60126,0,109362
01/04/2016,F (Jan 16),18.50,21.27,18.25,19.80,19.8250,1.30,144540,0,102894
01/05/2016,F (Jan 16),19.85,20.66,19.25,19.45,19.4250,-0.40,97979,0,91176
01/06/2016,F (Jan 16),19.40,21.51,19.35,20.34,20.3250,0.90,120839,0,84410
01/07/2016,F (Jan 16),20.35,23.65,20.08,23.54,23.5250,3.20,194981,0,85956
01/08/2016,F (Jan 16),23.50,25.35,21.33,25.25,25.2750,1.75,143971,273,76454
01/11/2016,F (Jan 16),25.25,26.45,23.09,23.45,23.4750,-1.80,167659,1614,72413
01/12/2016,F (Jan 16),23.45,24.47,21.65,22.05,22.0750,-1.40,117476,0,63606
01/13/2016,F (Jan 16),22.05,25.38,20.80,24.75,24.7250,2.65,134421,0,59288
01/14/2016,F (Jan 16),24.65,25.75,22.67,23.55,23.5750,-1.15,147800,0,52916
01/15/2016,F (Jan 16),23.55,28.45,23.30,26.50,26.4750,2.90,174498,696,46767
01/19/2016,F (Jan 16),26.70,27.45,23.94,25.85,25.8500,-0.62,113210,99,39564
01/20/2016,F (Jan 16),25.80,29.60,25.65,28.30,27.4000,1.55,4518,0,30666
