CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CFE data is subject to the Terms and Conditions of CBOE's Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
07/21/2015,H (Mar 16),17.95,18.05,17.90,17.90,17.9250,-0.02,428,0,814
07/22/2015,H (Mar 16),17.99,18.20,17.99,18.00,18.0250,0.10,466,0,1217
07/23/2015,H (Mar 16),18.00,18.30,17.99,18.10,18.0750,0.05,260,0,1416
07/24/2015,H (Mar 16),18.05,18.35,18.00,18.25,18.2000,0.12,278,0,1617
07/27/2015,H (Mar 16),18.20,18.60,18.20,18.40,18.4250,0.22,475,0,1944
07/28/2015,H (Mar 16),18.40,18.44,18.05,18.09,18.1250,-0.30,269,0,1789
07/29/2015,H (Mar 16),18.00,18.11,17.94,18.11,18.1000,-0.02,525,0,1930
07/30/2015,H (Mar 16),18.05,18.22,18.05,18.10,18.1000,0.00,317,0,2083
07/31/2015,H (Mar 16),18.05,18.20,18.00,18.08,18.0500,-0.05,176,0,2141
08/03/2015,H (Mar 16),18.10,18.30,17.95,17.95,17.9250,-0.12,273,0,2226
08/04/2015,H (Mar 16),17.98,18.05,17.85,18.05,18.0250,0.10,196,0,2307
08/05/2015,H (Mar 16),18.03,18.03,17.79,18.00,17.9500,-0.08,529,0,2389
08/06/2015,H (Mar 16),18.00,18.32,17.88,18.07,18.0750,0.12,972,0,2690
08/07/2015,H (Mar 16),18.10,18.18,17.95,17.95,17.9250,-0.15,588,0,2738
08/10/2015,H (Mar 16),17.90,17.90,17.65,17.85,17.8250,-0.10,146,0,2788
08/11/2015,H (Mar 16),17.90,18.25,17.85,18.05,18.0750,0.25,317,0,2933
08/12/2015,H (Mar 16),18.05,18.62,18.05,18.07,18.0250,-0.05,453,0,3068
08/13/2015,H (Mar 16),18.05,18.15,17.92,18.01,17.9500,-0.08,517,0,3172
08/14/2015,H (Mar 16),17.95,18.05,17.84,17.88,17.8750,-0.08,254,0,3322
08/17/2015,H (Mar 16),17.80,17.95,17.80,17.90,17.9000,0.02,193,0,3448
08/18/2015,H (Mar 16),17.95,18.10,17.90,18.05,18.0750,0.18,846,0,3987
