CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
05/18/2017,F (Jan 18),17.70,17.85,17.53,17.69,17.6500,-0.05,970,0,2496
05/19/2017,F (Jan 18),17.63,17.65,17.20,17.23,17.2250,-0.42,2016,0,3423
05/22/2017,F (Jan 18),17.22,17.30,17.05,17.08,17.1000,-0.12,883,0,3706
05/23/2017,F (Jan 18),17.05,17.25,17.00,17.19,17.1750,0.08,590,0,4071
05/24/2017,F (Jan 18),17.15,17.32,17.15,17.24,17.2250,0.05,1190,0,4618
05/25/2017,F (Jan 18),17.22,17.37,17.15,17.30,17.3000,0.08,974,0,5122
05/26/2017,F (Jan 18),17.32,17.42,17.25,17.28,17.2750,-0.02,951,0,5455
05/30/2017,F (Jan 18),17.24,17.41,17.05,17.05,17.0500,-0.22,526,0,5688
05/31/2017,F (Jan 18),17.06,17.24,16.95,17.05,17.0500,0.00,508,0,5793
06/01/2017,F (Jan 18),17.00,17.15,16.95,17.01,17.0250,-0.02,1856,0,6456
06/02/2017,F (Jan 18),17.00,17.10,16.97,17.05,17.0000,-0.02,444,0,6510
06/05/2017,F (Jan 18),16.95,17.07,16.93,16.98,17.0000,0.00,301,0,6614
06/06/2017,F (Jan 18),17.00,17.19,16.98,17.15,17.1750,0.18,717,0,6794
06/07/2017,F (Jan 18),17.16,17.29,17.07,17.17,17.1750,0.00,358,0,6848
06/08/2017,F (Jan 18),17.15,17.21,16.99,17.05,17.0250,-0.15,343,0,6924
06/09/2017,F (Jan 18),17.00,17.25,16.92,17.05,17.0250,0.00,977,0,7068
06/12/2017,F (Jan 18),17.05,17.29,16.95,17.01,17.0250,0.00,732,0,7196
06/13/2017,F (Jan 18),17.03,17.05,16.87,16.87,16.8750,-0.15,786,0,7235
06/14/2017,F (Jan 18),16.85,16.94,16.80,16.86,16.8750,0.00,469,0,7502
06/15/2017,F (Jan 18),16.90,17.02,16.85,16.91,16.9250,0.05,650,0,7763
06/16/2017,F (Jan 18),16.89,17.00,16.72,16.75,16.7750,-0.15,2216,0,6920
06/19/2017,F (Jan 18),16.70,16.70,16.45,16.67,16.6500,-0.12,1766,0,7202
06/20/2017,F (Jan 18),16.60,16.77,16.50,16.55,16.5250,-0.12,1154,0,7618
06/21/2017,F (Jan 18),16.55,16.60,16.42,16.57,16.5750,0.05,2427,0,8612
06/22/2017,F (Jan 18),16.55,16.60,16.45,16.56,16.5750,0.00,2753,0,8793
06/23/2017,F (Jan 18),16.55,16.60,16.44,16.50,16.5250,-0.05,1467,0,8975
06/26/2017,F (Jan 18),16.50,16.50,16.23,16.28,16.2750,-0.25,2744,0,9543
06/27/2017,F (Jan 18),16.25,16.39,16.15,16.23,16.2250,-0.05,3782,0,10583
06/28/2017,F (Jan 18),16.17,16.25,16.05,16.18,16.1750,-0.05,2165,0,10827
06/29/2017,F (Jan 18),16.20,16.81,16.12,16.22,16.2250,0.05,3631,0,11889
06/30/2017,F (Jan 18),16.17,16.35,16.14,16.23,16.2250,0.00,2350,0,12139
07/03/2017,F (Jan 18),16.20,16.42,15.95,16.35,16.4000,0.18,3151,0,11651
07/05/2017,F (Jan 18),16.40,16.48,16.25,16.35,16.3250,-0.08,2702,0,12036
07/06/2017,F (Jan 18),16.36,16.65,16.25,16.57,16.5750,0.25,4249,0,12394
07/07/2017,F (Jan 18),16.53,16.55,16.44,16.50,16.5250,-0.05,3055,0,12831
07/10/2017,F (Jan 18),16.52,16.55,16.20,16.30,16.2750,-0.25,1770,0,13412
07/11/2017,F (Jan 18),16.25,16.47,16.10,16.12,16.1250,-0.15,2772,0,14367
07/12/2017,F (Jan 18),16.15,16.15,15.88,15.93,15.9250,-0.20,3083,0,14766
07/13/2017,F (Jan 18),15.93,15.95,15.75,15.85,15.8750,-0.05,3972,0,16053
07/14/2017,F (Jan 18),15.85,15.90,15.55,15.55,15.5500,-0.32,2876,0,16407
07/17/2017,F (Jan 18),15.60,15.60,15.46,15.54,15.5250,-0.02,3123,0,17046
07/18/2017,F (Jan 18),15.55,15.75,15.53,15.61,15.6250,0.10,2861,0,17593
07/19/2017,F (Jan 18),15.65,15.68,15.42,15.62,15.6250,0.00,7457,0,19953
07/20/2017,F (Jan 18),15.62,15.68,15.55,15.55,15.5750,-0.05,2831,0,20785
07/21/2017,F (Jan 18),15.55,15.80,15.49,15.50,15.5000,-0.08,6689,0,23208
07/24/2017,F (Jan 18),15.53,15.56,15.30,15.30,15.3250,-0.18,2920,0,23927
07/25/2017,F (Jan 18),15.35,15.35,15.18,15.30,15.3250,0.00,2773,0,24592
07/26/2017,F (Jan 18),15.35,15.35,15.12,15.25,15.2250,-0.10,2828,0,25360
07/27/2017,F (Jan 18),15.25,15.48,15.05,15.05,15.1000,-0.12,5855,0,25575
07/28/2017,F (Jan 18),15.10,15.27,15.05,15.12,15.1250,0.02,4132,0,26016
07/31/2017,F (Jan 18),15.20,15.25,15.00,15.00,15.0250,-0.10,2316,0,25709
08/01/2017,F (Jan 18),15.04,15.05,14.80,14.82,14.8250,-0.20,5120,0,26674
08/02/2017,F (Jan 18),14.80,15.02,14.69,14.97,14.9750,0.15,5004,0,27369
