CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
07/24/2017,H (Mar 18),16.60,16.62,16.34,16.35,16.3500,-0.20,320,0,4446
07/25/2017,H (Mar 18),16.37,16.37,16.17,16.27,16.2750,-0.08,951,0,4936
07/26/2017,H (Mar 18),16.26,16.26,16.08,16.18,16.1750,-0.10,1476,0,5715
07/27/2017,H (Mar 18),16.20,16.35,16.00,16.05,16.0500,-0.12,1282,0,6392
07/28/2017,H (Mar 18),16.02,16.20,16.02,16.04,16.0250,-0.02,607,0,6529
07/31/2017,H (Mar 18),16.09,16.25,16.00,16.05,16.0750,0.05,1923,0,7393
08/01/2017,H (Mar 18),16.05,16.05,15.80,15.83,15.8250,-0.25,489,0,7574
08/02/2017,H (Mar 18),15.80,15.97,15.70,15.90,15.9000,0.08,1430,0,7884
08/03/2017,H (Mar 18),15.95,16.05,15.93,16.00,15.9750,0.08,1399,0,8321
08/04/2017,H (Mar 18),16.07,16.15,15.95,16.13,16.1250,0.15,1415,0,8965
08/07/2017,H (Mar 18),16.15,16.18,16.05,16.10,16.0750,-0.05,565,0,9351
08/08/2017,H (Mar 18),16.10,16.41,16.05,16.29,16.2750,0.20,1566,0,9780
08/09/2017,H (Mar 18),16.32,16.54,16.20,16.35,16.3750,0.10,2062,0,10586
08/10/2017,H (Mar 18),16.37,17.14,16.32,17.10,17.1250,0.75,1436,0,10748
08/11/2017,H (Mar 18),17.15,17.30,16.75,17.30,17.3250,0.20,1271,0,11189
08/14/2017,H (Mar 18),17.25,17.25,16.35,16.37,16.3500,-0.98,885,0,11341
08/15/2017,H (Mar 18),16.35,16.43,16.12,16.40,16.3750,0.02,1042,0,11643
08/16/2017,H (Mar 18),16.40,16.40,16.12,16.25,16.2750,-0.10,2520,0,12333
08/17/2017,H (Mar 18),16.30,17.06,16.28,16.81,16.8250,0.55,3085,0,13297
08/18/2017,H (Mar 18),16.80,16.95,16.49,16.93,16.9250,0.10,1891,0,13529
08/21/2017,H (Mar 18),16.95,16.99,16.67,16.67,16.6750,-0.25,1354,0,13783
08/22/2017,H (Mar 18),16.60,16.65,16.16,16.16,16.1750,-0.50,1556,0,14065
08/23/2017,H (Mar 18),16.15,16.50,16.13,16.43,16.4250,0.25,1502,0,14206
08/24/2017,H (Mar 18),16.47,16.59,16.23,16.42,16.4250,0.00,1376,0,14386
08/25/2017,H (Mar 18),16.45,16.55,16.30,16.39,16.4000,-0.02,1206,0,14563
08/28/2017,H (Mar 18),16.39,16.55,16.28,16.34,16.3250,-0.08,1330,0,14598
08/29/2017,H (Mar 18),16.30,16.92,16.30,16.40,16.4250,0.10,1620,0,14762
08/30/2017,H (Mar 18),16.42,16.50,16.37,16.45,16.4750,0.05,1343,0,14965
08/31/2017,H (Mar 18),16.50,16.55,16.30,16.30,16.3250,-0.15,2675,0,15047
09/01/2017,H (Mar 18),16.32,16.40,16.24,16.32,16.3250,0.00,2065,0,15321
09/05/2017,H (Mar 18),16.35,17.45,15.85,16.34,16.3250,0.00,2961,0,15812
09/06/2017,H (Mar 18),16.38,16.67,16.34,16.60,16.6250,0.30,3032,0,16779
09/07/2017,H (Mar 18),16.60,16.75,16.50,16.63,16.6250,0.00,2208,0,16855
09/08/2017,H (Mar 18),16.61,16.85,16.61,16.75,16.7250,0.10,1202,0,16792
09/11/2017,H (Mar 18),16.65,16.65,16.40,16.45,16.4750,-0.25,2718,0,17341
09/12/2017,H (Mar 18),16.45,16.57,16.25,16.28,16.2750,-0.20,2889,0,17362
09/13/2017,H (Mar 18),16.25,16.35,16.04,16.05,16.0750,-0.20,3578,0,17665
09/14/2017,H (Mar 18),16.06,16.20,15.96,16.18,16.1750,0.10,2162,0,18018
09/15/2017,H (Mar 18),16.19,16.32,16.08,16.12,16.1250,-0.05,1770,0,18515
09/18/2017,H (Mar 18),16.07,16.15,15.75,15.83,15.8250,-0.30,5777,0,19698
09/19/2017,H (Mar 18),15.82,16.00,15.75,15.97,15.9750,0.15,4750,0,21193
09/20/2017,H (Mar 18),15.96,16.05,15.80,15.84,15.8250,-0.15,5316,0,22550
09/21/2017,H (Mar 18),15.87,15.95,15.77,15.92,15.9250,0.10,4300,0,23115
09/22/2017,H (Mar 18),15.90,16.15,15.90,16.08,16.0750,0.15,2839,0,23660
09/25/2017,H (Mar 18),16.07,16.30,15.95,16.00,16.0250,-0.05,2651,0,23790
09/26/2017,H (Mar 18),16.00,16.10,15.88,15.90,15.9250,-0.10,1468,0,23629
09/27/2017,H (Mar 18),15.90,16.00,15.82,15.94,15.9250,0.00,1720,0,23751
09/28/2017,H (Mar 18),15.94,15.97,15.85,15.89,15.8750,-0.05,1761,0,24082
09/29/2017,H (Mar 18),15.88,15.94,15.75,15.82,15.8000,-0.08,2892,0,23976
10/02/2017,H (Mar 18),15.75,15.80,15.48,15.52,15.5250,-0.28,3898,0,23668
10/03/2017,H (Mar 18),15.51,15.54,15.40,15.48,15.4750,-0.05,3804,0,23870
10/04/2017,H (Mar 18),15.50,15.55,15.45,15.45,15.4750,0.00,1549,0,23953
10/05/2017,H (Mar 18),15.46,15.52,15.25,15.28,15.2750,-0.20,2177,0,24054
10/06/2017,H (Mar 18),15.23,15.44,15.23,15.33,15.3250,0.05,2491,0,24032
10/09/2017,H (Mar 18),15.33,15.55,15.25,15.45,15.4750,0.15,5284,0,25962
10/10/2017,H (Mar 18),15.49,15.55,15.30,15.30,15.3250,-0.15,4087,0,27021
10/11/2017,H (Mar 18),15.33,15.40,15.20,15.25,15.2750,-0.05,2189,0,26909
10/12/2017,H (Mar 18),15.24,15.35,15.13,15.28,15.2750,0.00,3757,0,27224
10/13/2017,H (Mar 18),15.29,15.29,15.00,15.00,15.0250,-0.25,3967,0,26870
10/16/2017,H (Mar 18),15.08,15.10,14.85,14.88,14.8750,-0.15,3183,0,26822
10/17/2017,H (Mar 18),14.85,15.00,14.80,14.80,14.8250,-0.05,7549,0,27869
10/18/2017,H (Mar 18),14.84,14.90,14.66,14.87,14.8750,0.05,9691,0,27714
10/19/2017,H (Mar 18),14.85,15.28,14.72,14.72,14.7250,-0.15,9028,0,27515
10/20/2017,H (Mar 18),14.74,14.75,14.58,14.65,14.6250,-0.10,5555,0,26720
10/23/2017,H (Mar 18),14.65,14.88,14.53,14.87,14.8750,0.25,5396,0,26796
10/24/2017,H (Mar 18),14.85,14.95,14.65,14.89,14.8750,0.00,6409,0,27467
10/25/2017,H (Mar 18),14.90,15.45,14.80,14.92,14.9250,0.05,8933,0,28044
10/26/2017,H (Mar 18),14.95,15.05,14.85,14.97,14.9750,0.05,4381,0,27950
