,close,volume,return_1d,return_3d,return_5d,ma_5,ma_10,ma_20,volatility_5d,volatility_10d,rsi_14,macd,macd_signal,bollinger_upper,bollinger_lower,bollinger_width,volume_zscore,volume_spike,sentiment_score,is_pandemic,insider_net_shares,insider_7d,insider_21d
SMCI_target_1d,0.04296971,0.049744073,0.054236967,0.04841101,0.043167274,0.049788814,0.049118873,0.05704181,0.04207991,0.05192121,0.04966211,0.053625476,0.042075515,0.042723786,0.038743902,0.05190466,0.05014504,0.0,0.0,0.03256898,0.06458667,0.038933173,0.04655102
SMCI_target_3d,0.047928266,0.038874004,0.042898923,0.042687323,0.038946558,0.050287478,0.0601945,0.06928068,0.04978222,0.054129407,0.045227963,0.04869081,0.04839766,0.04515382,0.04648846,0.04676245,0.04098575,0.0,0.0,0.07509669,0.039378256,0.032218203,0.036590602
SMCI_target_5d,0.061157547,0.034446172,0.027058192,0.030154387,0.044972945,0.058765873,0.054208547,0.0638106,0.03442134,0.051747657,0.04796778,0.052052952,0.050097138,0.04218612,0.0625974,0.05166291,0.030381946,0.0,0.0,0.06227407,0.06048353,0.050250284,0.02930263
SNOW_target_1d,0.058418773,0.052805107,0.05050822,0.05020782,0.046555273,0.045714285,0.047118194,0.036296878,0.048321698,0.0495798,0.0515862,0.05031819,0.04790787,0.049374625,0.04096526,0.05021577,0.045529112,0.0,0.0,0.04418082,0.03200351,0.046744898,0.055647645
SNOW_target_3d,0.048012085,0.03761122,0.034517497,0.03533021,0.051267058,0.056829352,0.041728213,0.057630666,0.043797754,0.04274143,0.041433636,0.0523005,0.049422525,0.053387146,0.03625999,0.046204638,0.035088256,0.0,0.0,0.062364522,0.06427301,0.052357312,0.0574429
SNOW_target_5d,0.047459837,0.055621203,0.022931613,0.0358497,0.04833118,0.0557473,0.05092798,0.06093361,0.038030945,0.047627803,0.03571389,0.038208086,0.060952812,0.051286455,0.055247854,0.043818753,0.036209315,0.0,0.0,0.09466119,0.029044636,0.046130855,0.045264997
TSLA_target_1d,0.04127532,0.042219505,0.046194933,0.046708368,0.046988793,0.041993994,0.04249096,0.04348307,0.044775255,0.0520424,0.046610188,0.04628843,0.05156855,0.060445108,0.058885947,0.050553773,0.04596907,0.0,0.0,0.03044716,0.06426768,0.057001136,0.039790362
TSLA_target_3d,0.04615051,0.055016052,0.03772298,0.034932815,0.042321708,0.048952382,0.055299383,0.04300848,0.049297463,0.044426087,0.046939638,0.046118565,0.052783713,0.06098932,0.05188311,0.057077613,0.03126803,0.0,0.0,0.07715381,0.042902924,0.04199221,0.03376332
TSLA_target_5d,0.04593243,0.05050248,0.028338445,0.03388673,0.038513526,0.04954239,0.040324852,0.090114035,0.038386095,0.04775136,0.030475745,0.044238973,0.051317718,0.06519328,0.0459163,0.05352563,0.03049626,0.0,0.0,0.06910092,0.06538437,0.038329393,0.042728946
TSM_target_1d,0.04086546,0.049239274,0.050892785,0.051017582,0.04735038,0.04513223,0.03802971,0.05903385,0.049294427,0.05576357,0.04313228,0.04719493,0.039664004,0.06351977,0.053632442,0.0498089,0.051788766,0.0,0.0,0.16463965,0.0,0.0,0.0
TSM_target_3d,0.074959025,0.05016375,0.0354937,0.052862477,0.046879075,0.06124912,0.06133214,0.066625275,0.044668067,0.058928642,0.048327908,0.055304278,0.07008623,0.07203182,0.06035301,0.05488062,0.03937233,0.0,0.0,0.046482485,0.0,0.0,0.0
TSM_target_5d,0.05715965,0.038306944,0.034908473,0.043615516,0.048827678,0.05560368,0.06369464,0.10276801,0.038940646,0.05801895,0.044273753,0.06278844,0.061202805,0.09530851,0.06741366,0.049649246,0.03165005,0.0,0.0,0.045869328,0.0,0.0,0.0
UNH_target_1d,0.048699606,0.050858654,0.048899364,0.042845156,0.046006255,0.048278607,0.05117773,0.060545035,0.046374556,0.04752997,0.05214788,0.045258917,0.045604378,0.054326188,0.050549757,0.046156965,0.045406364,0.0,0.0,0.059550557,0.035555933,0.02594672,0.048281386
UNH_target_3d,0.052097667,0.037934378,0.038780574,0.03482991,0.03849825,0.042271644,0.045024138,0.06391369,0.04540163,0.053182498,0.04958966,0.045498826,0.056112204,0.04798663,0.047126196,0.04708813,0.04181743,0.0,0.0,0.08945545,0.057021637,0.024891626,0.04147786
UNH_target_5d,0.055824265,0.036449388,0.030793088,0.03399332,0.03899976,0.058901962,0.04871891,0.069886826,0.036333334,0.05352538,0.041437566,0.06739313,0.049484704,0.046869695,0.05128736,0.042829946,0.03608922,0.0,0.0,0.08849763,0.03181465,0.057779104,0.02309068
ZM_target_1d,0.04013754,0.048501175,0.0441596,0.04863855,0.050056517,0.052852407,0.061257772,0.05118609,0.044882573,0.046541356,0.047561333,0.04326639,0.0428436,0.044891205,0.05355438,0.04219383,0.051768027,0.0,0.0,0.020090898,0.04253346,0.046392206,0.076690994
ZM_target_3d,0.046653762,0.04533046,0.037515126,0.03732303,0.05256693,0.045344185,0.062231258,0.066256404,0.04051992,0.042607844,0.043773435,0.06016507,0.06004295,0.052754316,0.06298914,0.04680436,0.03844375,0.0,0.0,0.052350905,0.037028715,0.02569911,0.043599404
ZM_target_5d,0.05168115,0.05153164,0.032375447,0.029253243,0.04346784,0.059060477,0.0637754,0.07081724,0.040060204,0.040646542,0.032112084,0.053056095,0.05212023,0.0356888,0.0693192,0.04683846,0.034616422,0.0,0.0,0.04612373,0.039944716,0.064666785,0.04284425
