ticker,horizon,n_obs,win_rate,avg_return_per_bar,annualized_return,annualized_vol,sharpe,turnover,fitness,gross_annualized_return
QQQ,1,48,0.6666666666666666,0.0035063457551920397,0.883599130308394,0.16314034292835708,5.4161902227729515,0.1276595744680851,14.2493433900144,0.9203491303083939
TSM,3,42,0.7931034482758621,0.015136425410170145,1.2714597344542922,0.2651206330116634,4.795778133187986,0.14634146341463414,14.136005058235492,1.2854597344542922
SPY,3,42,0.9,0.008466652743713058,0.7111988304718969,0.11212277299397098,6.343036400911519,0.14634146341463414,13.98327902591886,0.7251988304718968
APLD,3,42,0.875,0.022958498524187437,1.9285138760317446,0.47064340256009063,4.097611621753301,0.17073170731707318,13.771621729459175,1.9425138760317446
NVO,3,42,0.717948717948718,0.01657681880853304,1.3924527799167752,0.3393018783025394,4.103875837301411,0.07317073170731707,13.69712579936982,1.3984527799167754
CRWD,5,40,0.9444444444444444,0.03791534902968235,1.9109335910959904,0.4281108863241373,4.463641668876314,0.20512820512820512,13.623836735144007,1.9210135910959902
NVDA,5,40,0.7586206896551724,0.027586650525518612,1.390367186486138,0.3419236056272368,4.066309443407977,0.07692307692307693,13.56157635150166,1.3954071864861382
AAPL,5,40,0.8620689655172413,0.01813514817492832,0.9140114680163872,0.15307979673665484,5.9708170999780785,0.1794871794871795,13.473886164506554,0.9228314680163869
SPY,5,40,0.9629629629629629,0.013686070420317211,0.6897779491839874,0.1099400196346324,6.274129761631397,0.15384615384615385,13.28510001322854,0.6985979491839874
INTC,1,53,0.5555555555555556,0.010499463135923228,2.6458647102526536,0.6250747321163896,4.23287740538517,0.2692307692307692,13.26957951827219,2.7124307479885026
DNA,3,42,0.8666666666666667,0.03834943904105846,3.2213528794489106,0.7928969643223728,4.0627635422995345,0.3170731707317073,12.949737041084628,3.247352879448911
RZLV,1,32,0.8571428571428571,0.005545451097111968,1.3974536764722159,0.25820751304840406,5.412134062149643,0.25806451612903225,12.594273187608724,1.4604536764722158
NVO,5,40,0.7105263157894737,0.024424195092647132,1.2309794326694155,0.3249450285294016,3.7882697828627783,0.10256410256410256,11.888068304705653,1.2372794326694156
USAR,3,40,0.7058823529411765,0.02751254705053105,2.3110539522446083,0.7194360725643798,3.2123131441088537,0.1794871794871795,11.526732122798975,2.3278539522446082
AMPX,1,53,0.75,0.007010944216878199,1.7667579426533062,0.42802613163585523,4.127687101488425,0.23076923076923078,11.421058163653846,1.8238145464268911
TSM,5,40,0.696969696969697,0.02341589834643293,1.1801612766602196,0.26745456354885055,4.412567357238843,0.1794871794871795,11.314759092956491,1.1902412766602195
SNOW,3,42,0.6,0.028322851301168486,2.3791195092981527,0.9348391956128641,2.5449505331646303,0.0975609756097561,11.102798752059542,2.389119509298153
GOOG,1,60,0.6129032258064516,0.0050196976315683645,1.264963803155228,0.2854566900489218,4.431368565712849,0.2033898305084746,11.051272929295502,1.3195638031552277
GOOG,5,40,0.75,0.030107786463960617,1.517432437783615,0.307392381344994,4.936467296762841,0.3076923076923077,10.962576235585606,1.533812437783615
PL,1,53,0.5882352941176471,0.011235077828762896,2.83123961284825,0.7776539888892423,3.640744667036602,0.3269230769230769,10.714101249181393,2.9120698015274957
ROKU,3,42,0.6875,0.015448903765292187,1.2977079162845437,0.40398214661842685,3.2122902636840225,0.0975609756097561,10.350188321430785,1.307707916284544
UAL,3,42,0.8333333333333334,0.01722548746598775,1.446940947142971,0.36844914692505004,3.9271116766550906,0.21951219512195122,10.082525492692831,1.464940947142971
