month,close,vintage_date
1967-09,96.70999908447266,1967-09-30
1967-10,93.30000305175781,1967-11-01
1967-11,94.0,1967-12-01
1967-12,96.47000122070312,1967-12-30
1968-01,92.23999786376953,1968-02-01
1968-02,89.36000061035156,1968-03-01
1968-03,90.19999694824219,1968-03-30
1968-04,97.45999908447266,1968-05-01
1968-05,98.68000030517578,1968-06-01
1968-06,99.58000183105469,1968-06-29
1968-07,97.73999786376953,1968-07-31
1968-08,98.86000061035156,1968-08-31
1968-09,102.66999816894531,1968-10-01
1968-10,103.41000366210938,1968-11-01
1968-11,108.37000274658203,1968-11-30
1968-12,103.86000061035156,1969-01-01
1969-01,103.01000213623047,1969-02-01
1969-02,98.12999725341797,1969-03-01
1969-03,101.51000213623047,1969-03-29
1969-04,103.69000244140625,1969-05-01
1969-05,103.45999908447266,1969-05-30
1969-06,97.70999908447266,1969-07-01
1969-07,91.83000183105469,1969-08-01
1969-08,95.51000213623047,1969-08-30
1969-09,93.12000274658203,1969-10-01
1969-10,97.12000274658203,1969-11-01
1969-11,93.80999755859375,1969-11-29
1969-12,92.05999755859375,1970-01-01
1970-01,85.0199966430664,1970-01-31
1970-02,89.5,1970-02-28
1970-03,89.62999725341797,1970-04-01
1970-04,81.5199966430664,1970-05-01
1970-05,76.55000305175781,1970-05-30
1970-06,72.72000122070312,1970-07-01
1970-07,78.05000305175781,1970-08-01
1970-08,81.5199966430664,1970-09-01
1970-09,84.30000305175781,1970-10-01
1970-10,83.25,1970-10-31
1970-11,87.19999694824219,1970-12-01
1970-12,92.1500015258789,1971-01-01
1971-01,95.87999725341797,1971-01-30
1971-02,96.75,1971-02-27
1971-03,100.30999755859375,1971-04-01
1971-04,103.94999694824219,1971-05-01
1971-05,99.62999725341797,1971-05-29
1971-06,98.69999694824219,1971-07-01
1971-07,95.58000183105469,1971-07-31
1971-08,99.02999877929688,1971-09-01
1971-09,98.33999633789062,1971-10-01
1971-10,94.2300033569336,1971-10-30
1971-11,93.98999786376953,1971-12-01
1971-12,102.08999633789062,1972-01-01
1972-01,103.94000244140625,1972-02-01
1972-02,106.56999969482422,1972-03-01
1972-03,107.19999694824219,1972-03-31
1972-04,107.66999816894531,1972-04-29
1972-05,109.52999877929688,1972-06-01
1972-06,107.13999938964844,1972-07-01
1972-07,107.38999938964844,1972-08-01
1972-08,111.08999633789062,1972-09-01
1972-09,110.55000305175781,1972-09-30
1972-10,111.58000183105469,1972-11-01
1972-11,116.66999816894531,1972-12-01
1972-12,118.05000305175781,1972-12-30
1973-01,116.02999877929688,1973-02-01
1973-02,111.68000030517578,1973-03-01
1973-03,111.5199966430664,1973-03-31
1973-04,106.97000122070312,1973-05-01
1973-05,104.94999694824219,1973-06-01
1973-06,104.26000213623047,1973-06-30
1973-07,108.22000122070312,1973-08-01
1973-08,104.25,1973-09-01
1973-09,108.43000030517578,1973-09-29
1973-10,108.29000091552734,1973-11-01
1973-11,95.95999908447266,1973-12-01
1973-12,97.55000305175781,1974-01-01
1974-01,96.56999969482422,1974-02-01
1974-02,96.22000122070312,1974-03-01
1974-03,93.9800033569336,1974-03-30
1974-04,90.30999755859375,1974-05-01
1974-05,87.27999877929688,1974-06-01
1974-06,86.0,1974-06-29
1974-07,79.30999755859375,1974-08-01
1974-08,72.1500015258789,1974-08-31
1974-09,63.540000915527344,1974-10-01
1974-10,73.9000015258789,1974-11-01
1974-11,69.97000122070312,1974-11-30
1974-12,68.55999755859375,1975-01-01
1975-01,76.9800033569336,1975-02-01
1975-02,81.58999633789062,1975-03-01
1975-03,83.36000061035156,1975-04-01
1975-04,87.30000305175781,1975-05-01
1975-05,91.1500015258789,1975-05-31
1975-06,95.19000244140625,1975-07-01
1975-07,88.75,1975-08-01
1975-08,86.87999725341797,1975-08-30
1975-09,83.87000274658203,1975-10-01
1975-10,89.04000091552734,1975-11-01
1975-11,91.23999786376953,1975-11-29
1975-12,90.19000244140625,1976-01-01
1976-01,100.86000061035156,1976-01-31
1976-02,99.70999908447266,1976-02-28
1976-03,102.7699966430664,1976-04-01
1976-04,101.63999938964844,1976-05-01
1976-05,100.18000030517578,1976-05-29
1976-06,104.27999877929688,1976-07-01
1976-07,103.44000244140625,1976-07-31
1976-08,102.91000366210938,1976-09-01
1976-09,105.23999786376953,1976-10-01
1976-10,102.9000015258789,1976-10-30
1976-11,102.0999984741211,1976-12-01
1976-12,107.45999908447266,1977-01-01
1977-01,102.02999877929688,1977-02-01
