feature,n_dates,mean_IC,std_IC,IC_IR,t_stat,base,DSR,pass_HLZ,pass_EVT,pass_MAG,is_base_rep,SURVIVOR,ts_mean_IC,ts_std_IC,ts_IC_IR,ts_n_tickers,ts_pass,cs_ts_divergence
insider_90d__cs_zscore,579.0,-0.003256483455898214,0.17985165812992912,-0.018106496708224132,-0.43568610735599,insider_90d,0.024712091317083486,False,False,False,False,False,,,,,False,False
ma_5__ts_delta__w10,570.0,0.0030908073958417145,0.1703861071020321,0.01814002003103956,0.43308704232996215,ma_5,0.024563764452647005,False,False,False,False,False,,,,,False,False
rsi_below_30__ts_rank__w10,576.0,0.0018467713135909033,0.10301854637423889,0.017926590682827884,0.4302381763878692,rsi_below_30,0.024399068575053282,False,False,False,False,False,,,,,False,False
return_5d__ts_std__w10,576.0,0.004180998389006136,0.23383221092027684,0.017880335530127682,0.42912805272306437,return_5d,0.02433558130926107,False,False,False,False,False,,,,,False,False
is_squeeze_setup__ts_delta__w20,560.0,0.0020203479716891437,0.11205956174793336,0.018029233205763485,0.4266495282936225,is_squeeze_setup,0.02419737879730145,False,False,False,False,False,,,,,False,False
insider_60d__cs_demean,579.0,-0.003050972006215996,0.1730229054562836,-0.017633341655951224,-0.4243008523161805,insider_60d,0.02406057901132197,False,False,False,False,False,,,,,False,False
insider_60d__cs_zscore,579.0,-0.003050972006215996,0.1730229054562836,-0.017633341655951224,-0.4243008523161805,insider_60d,0.02406057901132197,False,False,False,False,False,,,,,False,False
insider_60d__cs_rank,579.0,-0.003050972006215996,0.1730229054562836,-0.017633341655951224,-0.4243008523161805,insider_60d,0.02406057901132197,False,False,False,False,False,,,,,False,False
insider_60d__scale,579.0,-0.003050972006215996,0.1730229054562836,-0.017633341655951224,-0.4243008523161805,insider_60d,0.02406057901132197,False,False,False,False,False,,,,,False,False
insider_60d__signed_power_p05,579.0,-0.003050972006215996,0.1730229054562836,-0.017633341655951224,-0.4243008523161805,insider_60d,0.02406057901132197,False,False,False,False,False,,,,,False,False
eightk_exec_change_30d__ts_rank__w20,571.0,-0.0014045433666197901,0.08004732127079629,-0.01754641310067437,-0.41928217926764344,eightk_exec_change_30d,0.02377947189113673,False,False,False,False,False,,,,,False,False
volatility_10d__ts_std__w10,576.0,0.003322654199950925,0.19026524549199886,0.017463274448042333,0.419118586753016,volatility_10d,0.02376938840242395,False,False,False,False,False,,,,,False,False
days_to_earnings__ts_rank__w20,571.0,0.001727967043460128,0.09905557514007188,0.017444419872547863,0.4168449892440152,days_to_earnings,0.02364325206329499,False,False,False,False,False,,,,,False,False
vol_zscore_60d__ts_max__w20,579.0,0.001964327329443228,0.114970653452039,0.017085467208052915,0.41111766788403104,vol_zscore_60d,0.023324280597999042,False,False,False,False,False,,,,,False,False
insider_net_shares__ts_rank__w10,576.0,0.001830042844345676,0.10699925734821691,0.017103322861298093,0.4104797486711542,insider_net_shares,0.023289673833433673,False,False,False,False,False,,,,,False,False
obv_trend__ts_decay_linear__w5,576.0,-0.0023136682253753465,0.1354125147232433,-0.017086073839659738,-0.4100657721518337,obv_trend,0.0232668919232552,False,False,False,False,False,,,,,False,False
eightk_days_since_last__ts_std__w20,571.0,-0.0015279657265098749,0.08931775676108096,-0.017107076822328635,-0.4087839725310737,eightk_days_since_last,0.023197372843494806,False,False,False,False,False,,,,,False,False
post_earnings_1d__ts_rank__w5,417.0,-0.001737866735392236,0.08890676005499511,-0.019547070822480122,-0.39916248160014417,post_earnings_1d,0.022712185432793373,False,False,False,False,False,,,,,False,False
insider_90d__ts_max__w5,579.0,-0.0029557792181868184,0.17910141264361826,-0.016503383052976377,-0.397111315149672,insider_90d,0.02256288671729483,False,False,False,False,False,,,,,False,False
eightk_filings_30d__ts_decay_linear__w20,561.0,-0.0014965957406341403,0.08971268336034713,-0.01668209760957427,-0.39512279806113304,eightk_filings_30d,0.022459712789543864,False,False,False,False,False,,,,,False,False
volume_zscore__ts_mean__w5,579.0,0.0019258302776792129,0.11786007509736988,0.016339971581455313,0.3931792398801369,volume_zscore,0.022352944430910477,False,False,False,False,False,,,,,False,False
beta_60d__group_neutralize,579.0,0.0027645050736773156,0.17222542384199116,0.016051666542644834,0.38624192328518225,beta_60d,0.021986565635996564,False,False,False,False,False,,,,,False,False
bb_pct__ts_max__w20,579.0,0.0023161668090985045,0.14585184346621266,0.015880271061743945,0.38211773343799893,bb_pct,0.021771169604322446,False,False,False,False,False,,,,,False,False
return_3d__group_neutralize,579.0,0.001989603450874062,0.12553556477692063,0.0158489226093787,0.3813634138474818,return_3d,0.021731966943035707,False,False,False,False,False,,,,,False,False
ma_10__ts_argmax__w5,579.0,0.0024443297579231716,0.1549194304704315,0.015778070901117245,0.3796585503684005,ma_10,0.021643583441788298,False,False,False,False,False,,,,,False,False
low_52w_ratio__ts_argmax__w10,339.0,-0.00288793260607504,0.14154846664227558,-0.020402429461659145,-0.37564856497925586,low_52w_ratio,0.021505166173763145,False,False,False,False,False,,,,,False,False
obv__ts_delta__w5,575.0,-0.0020118646841639424,0.12938985806340222,-0.015548859194034436,-0.37284854537150575,obv,0.02129423086856811,False,False,False,False,False,,,,,False,False
volume_zscore__ts_decay_linear__w5,576.0,0.0018056742220494662,0.11727321348909941,0.015397158211387329,0.36953179707329586,volume_zscore,0.021125328802903933,False,False,False,False,False,,,,,False,False
volume_spike__ts_rank__w10,576.0,-0.0014703212448013018,0.09707014863013293,-0.01514699694551491,-0.36352792669235784,volume_spike,0.020822769001309062,False,False,False,False,False,,,,,False,False
insider_60d__ts_min__w20,579.0,-0.002683520261812509,0.17823918532538532,-0.015055725579723657,-0.36227717470439164,insider_60d,0.020759713613229643,False,False,False,False,False,,,,,False,False
volatility_5d__ts_mean__w20,571.0,0.004057084995673702,0.27410986466080406,0.014800944871845903,0.3536775513879411,volatility_5d,0.020335134459623188,False,False,False,False,False,,,,,False,False
rev_growth_qoq__ts_mean__w20,571.0,0.0016314415834217397,0.11030911875173528,0.014789725472229604,0.353409457031892,rev_growth_qoq,0.020321977135915933,False,False,False,False,False,,,,,False,False
return_60d__ts_delta__w20,519.0,0.002617211180405421,0.1695766006091437,0.015433799067819614,0.35160619697690987,return_60d,0.020243016468935005,False,False,False,False,False,,,,,False,False
vwap_dev_eod__ts_argmax__w10,579.0,0.002214462742334612,0.1518729520547539,0.014581021257401017,0.3508546404797631,vwap_dev_eod,0.020195668378875604,False,False,False,False,False,,,,,False,False
insider_60d__ts_mean__w5,579.0,-0.0024964198807650236,0.17437340918190306,-0.014316517022161362,-0.3444900287888447,insider_60d,0.019887062609979342,False,False,False,False,False,,,,,False,False
insider_90d__ts_decay_linear__w5,576.0,-0.002569079478880624,0.1804590871213335,-0.014236354177904477,-0.34167250026970747,insider_90d,0.019752201187322165,False,False,False,False,False,,,,,False,False
eightk_other_events_30d__ts_max__w10,579.0,0.001264852620675084,0.08944319655992766,0.014141406717587766,0.3402764512985653,eightk_other_events_30d,0.0196849660742623,False,False,False,False,False,,,,,False,False
eightk_other_events_30d__ts_argmax__w5,544.0,-0.0011630452463120694,0.07984566453982749,-0.014566166529078552,-0.33973846529345114,eightk_other_events_30d,0.019665077785319784,False,False,False,False,False,,,,,False,False
insider_60d__ts_max__w5,579.0,-0.00243578162905536,0.1726362850808839,-0.014109326019811783,-0.3395045121122878,insider_60d,0.019648131145602963,False,False,False,False,False,,,,,False,False
sector_rel_ret__ts_std__w5,579.0,0.0030216470761333957,0.21877770215777878,0.01381149471052692,0.33233797040728086,sector_rel_ret,0.019308949181212825,False,False,False,False,False,,,,,False,False
ma_5__ts_rank__w10,576.0,-0.002130732654995746,0.1567664671760103,-0.013591762915748148,-0.3262023099779555,ma_5,0.0190229824020864,False,False,False,False,False,,,,,False,False
insider_21d__ts_rank__w5,579.0,-0.0012562844567871885,0.09267695963887587,-0.01355552082936702,-0.3261786196690065,insider_21d,0.019021426843721562,False,False,False,False,False,,,,,False,False
return_3d__ts_max__w20,579.0,0.0031649288342959583,0.23669679073213282,0.013371236781480802,0.32174429972489044,return_3d,0.018816692635206182,False,False,False,False,False,,,,,False,False
eightk_exec_change_30d__ts_max__w10,579.0,0.0010578859072510366,0.07936270411875762,0.013329761365842902,0.32074630090262013,eightk_exec_change_30d,0.018770874179195082,False,False,False,False,False,,,,,False,False
ma_10__ts_rank__w5,579.0,-0.0020274974639309944,0.15272303115107277,-0.013275649708166184,-0.31944424353196155,ma_10,0.018711239141065848,False,False,False,False,False,,,,,False,False
high_52w_ratio__ts_delta__w20,328.0,-0.0029884020262136227,0.16956075118276853,-0.017624373596885293,-0.31919098147643316,high_52w_ratio,0.01876598816078883,False,False,False,False,False,,,,,False,False
bb_lower__ts_rank__w10,576.0,-0.0017491026593899027,0.1320734304244206,-0.013243410531316757,-0.31784185275160215,bb_lower,0.018638519664728077,False,False,False,False,False,,,,,False,False
volatility_5d__ts_delta__w20,560.0,0.0019267099870159921,0.14416379890561037,0.013364728188645222,0.3162671929738622,volatility_5d,0.018569324568740622,False,False,False,False,False,,,,,False,False
atr__group_neutralize,579.0,-0.00132594472696808,0.1009886643003339,-0.01312963921400925,-0.31593087786783147,atr,0.01855112927889203,False,False,False,False,False,,,,,False,False
bb_pct__ts_max__w5,579.0,0.0021193569763588945,0.16210052066875513,0.013074337871435353,0.3146001938009,bb_pct,0.018490793312538296,False,False,False,False,False,,,,,False,False
bb_lower__ts_delta__w10,570.0,-0.001999300611162626,0.15248031452119024,-0.0131118604879634,-0.3130413785904589,bb_lower,0.018421676447976803,False,False,False,False,False,,,,,False,False
eightk_other_events_30d__ts_rank__w5,577.0,-0.001046184865208554,0.08070451339551174,-0.012963151888190878,-0.31138559386655795,eightk_other_events_30d,0.018346021698345438,False,False,False,False,False,,,,,False,False
insider_90d__ts_delta__w20,560.0,0.001487978340389795,0.11309413542469852,0.013156989394737764,0.31135119585865656,insider_90d,0.01834707149889325,False,False,False,False,False,,,,,False,False
