feature,n_dates,mean_IC,std_IC,IC_IR,t_stat,base,DSR,pass_HLZ,pass_EVT,pass_MAG,is_base_rep,SURVIVOR
eightk_days_since_last__cs_rank,579.0,0.009829741629220748,0.09280761645235416,0.10591524709900473,2.548577036288491,eightk_days_since_last,0.5498694514390225,False,False,False,False,False
eightk_days_since_last__scale,579.0,0.009829741629220748,0.09280761645235416,0.10591524709900473,2.548577036288491,eightk_days_since_last,0.5498694514390225,False,False,False,False,False
eightk_days_since_last__signed_power_p05,579.0,0.009829741629220748,0.09280761645235416,0.10591524709900473,2.548577036288491,eightk_days_since_last,0.5498694514390225,False,False,False,False,False
return_20d__ts_mean__w5,577.0,0.02060928763624463,0.19452132217878262,0.10594873305098573,2.5449759013118207,return_20d,0.5484487085820525,False,False,True,False,False
ma20_above_ma50__ts_rank__w20,549.0,0.013693037856171418,0.12611205435677375,0.10857834269699164,2.5440718975789816,ma20_above_ma50,0.5480831873971883,False,False,False,False,False
low_52w_ratio__ts_std__w10,343.0,0.03729388473308257,0.2716124759507814,0.13730549232885958,2.5429333044181455,low_52w_ratio,0.5475250123801599,False,False,True,False,False
rev_growth_qoq__ts_delta__w20,550.0,0.009527088712246255,0.0879525761039716,0.10832074663718745,2.5403466857145243,rev_growth_qoq,0.5466139150231234,False,False,False,False,False
beta_60d__ts_rank__w20,538.0,-0.017587370216042727,0.16081053503956183,-0.10936702755025327,-2.536749284569858,beta_60d,0.5451902665907101,False,False,False,False,False
eightk_reg_fd_30d__ts_delta__w5,574.0,-0.009426834436352671,0.08923541175881798,-0.10564006206225791,-2.530955992700221,eightk_reg_fd_30d,0.5429131584982515,False,False,False,False,False
bb_pct__ts_delta__w5,574.0,-0.015869323014268064,0.15037333165334782,-0.10553282845957851,-2.528386858187972,bb_pct,0.541897970214844,False,False,False,False,False
eightk_material_agreement_30d__ts_delta__w10,569.0,-0.008769258129583811,0.08283252572179653,-0.10586732751620383,-2.5253296812804034,eightk_material_agreement_30d,0.5406882669991445,False,False,False,False,False
volatility_10d__ts_rank__w10,575.0,0.01175928946702776,0.11172042949311317,0.10525639330586929,2.5239596452324493,volatility_10d,0.5401481536032794,False,False,False,False,False
insider_7d__ts_std__w5,578.0,0.013804320615445608,0.13174782741368612,0.10477835488019287,2.5190424987500686,insider_7d,0.5382041649443213,False,False,False,False,False
is_squeeze_setup__ts_decay_linear__w5,575.0,-0.018727364554951307,0.1784080495005954,-0.104969280295219,-2.5170749170963,is_squeeze_setup,0.5374250125820662,False,False,False,False,False
risk_prev_1d__ts_mean__w10,321.0,0.009595757891151923,0.06852588296858854,0.14003114553883977,2.5088642196052047,risk_prev_1d,0.5340783706950043,False,False,False,False,False
