ticker,prediction_date,actual_up,prob_up,shap_return_1d,shap_return_3d,shap_return_5d,shap_ma_5,shap_ma_10,shap_ma_20,shap_volatility_5d,shap_volatility_10d,shap_rsi_14,shap_macd,shap_bb_upper,shap_bb_lower,shap_bb_width,shap_volume_zscore,shap_volume_spike,shap_vwap,shap_obv,shap_atr,shap_spy_ret,shap_xlk_ret,shap_sentiment_score,shap_insider_net_shares,shap_insider_7d,shap_insider_21d,shap_congress_net_shares,shap_risk_today,shap_risk_next_1d,shap_risk_next_3d,shap_risk_prev_1d,shap_is_pandemic,shap_eps_surprise,shap_rev_surprise,shap_days_to_earnings,shap_post_earnings_1d,shap_post_earnings_3d,shap_post_earnings_5d,shap_vwap_dev_eod,shap_vol_surge_eod,shap_intraday_momentum,shap_premarket_gap,shap_iv_skew_snap,shap_pc_ratio_snap,shap_analyst_upside,shap_analyst_buy_pct,shap_analyst_mult,shap_finbert_sentiment,shap_oil_ret,shap_oil_spy_corr,shap_return_20d,shap_return_60d,shap_ma_50,shap_ma5_above_ma20,shap_ma20_above_ma50,shap_high_52w_ratio,shap_low_52w_ratio,shap_bb_pct,shap_rsi_above_70,shap_rsi_below_30,shap_obv_trend,shap_vix_close,shap_vix_ret,shap_dxy_ret,shap_yield_10y,shap_fear_greed,shap_vix_term_structure,shap_beta_60d,shap_short_ratio,shap_short_pct_float,shap_monday_sentiment,shap_sector_rel_ret,shap_day_of_week,shap_is_month_end,shap_vix_5d_above_25,shap_semi_etf_momentum_60d,shap_igv_vs_sp500_ret_30d,shap_lqd_hyg_spread
GLD,2026-04-28,1,0.7797,0.0,0.0,0.0,-0.003496779204538251,-0.0020802564787375947,0.0,-0.02473326586498653,0.00589299040654406,0.0,0.0,0.0,-0.024460978191010806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019232726910651532,0.0,0.0,0.0,0.0,-0.0025911026012940264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015923094687800524,0.0,0.0,-0.019594770459955432,0.0,0.0,0.0,0.0,0.0,0.0,0.0372368266905109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPY,2026-04-27,1,0.7165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019470164269632335,0.0,0.0,0.010975696372117436,0.017970493415180772,0.0,0.0,0.0,0.03199544056898996,0.0,0.0,0.009019864498029082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006769803803164415,0.0,0.0,0.010086116967112351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00786541870565128,0.011067242009115092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009971079543704787,0.0
INSM,2026-04-27,1,0.7742,0.0,0.0,0.0,0.0,0.028771704800890124,0.0,0.0,0.0,0.0,0.00644921364394444,0.0,0.0,0.0,0.0,0.0,0.0,0.04003181720372225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011473607472884242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004372491125095286,0.0,0.0,-0.010733005433728843,-0.004754326108053752,-0.0024450246690410162,0.0,0.0,0.006855648614827321,0.02407855136570963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUM,2026-04-27,1,0.8618,0.0,0.0,0.0,0.0,0.0,0.014820851563703311,0.0,-0.004741364581768628,0.010669919445522535,0.0,0.0,0.0,0.05430617253290394,0.0,0.0,0.0,0.0,-0.0010983750931978509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037610776415787195,0.0,0.04663137899425226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008758202735694725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000706008970940147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03676219783784033,0.0
AAPL,2026-04-27,1,0.7404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03160372527497477,-0.008775339560276249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03771172091471443,0.0,0.0,0.0,0.0,0.0,0.0001330867545810263,0.0,0.0,0.0,0.0,0.008713744594200058,0.0,0.0,0.0,0.0,0.023686571393406543,0.0,0.026574066806838176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023999344389144174,0.0,0.0,0.0,0.0,0.0,0.001108614639481302,0.0,0.0,0.0,-0.00011889792907373977
GLD,2026-04-24,1,0.7321,0.0,0.0,0.0,0.0,0.0,0.0,-0.02562321045256864,0.0,0.0,0.0,0.005275518126448614,-0.06563083073101063,0.0,0.0,0.0,0.016943006847481994,0.0,-0.006040569054963033,0.007930965826913817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005786338541652156,0.0,0.0,0.0034058976912986543,0.005424954866831768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014061657639367096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUM,2026-04-24,1,0.7514,0.0,0.0,0.0,0.015530649591145813,0.0,0.0,0.003180665548565469,0.0033664874460043242,0.0,0.0,0.0,0.033508027290406424,0.03311053222710768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025336111254509644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026170169951480957,0.0,0.006682779497556995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00041887597488778885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02888229891286546,0.0
XLU,2026-04-24,1,0.7451,0.0,0.0,0.0,0.0,0.0,0.0,-0.008813241139977168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007661172442109646,0.0,0.0,0.0,0.0,0.0,-0.017203467356305152,0.0,-0.011794082355211531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008355575367599769,-0.0055672095935463,0.06790721664506673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03548116542298025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012116120224607868,0.0
EME,2026-04-23,1,0.708,0.0,0.0,0.0,0.0,0.0,-0.003006421288046158,0.0,0.00507980056526173,0.0,0.0,0.0,0.0,-0.004031039927965091,0.0,0.0,0.0,0.0,0.0,-0.00014875414945296698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007391998501652942,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033843012146779028,0.0,0.0,0.0,0.003803644735947952,0.0,-0.002345626493094298,0.0,0.0,0.0,0.0,-0.010212918337023048,0.0,0.0,0.0,-0.00024189613767684417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRVL,2026-04-23,1,0.7495,0.0,0.0,0.0,-0.0020363465088790627,0.0,0.0,0.0,0.0,-0.0021150699072482074,0.0,0.0,0.0005940690510734298,0.0,0.0,0.0005037559585404801,0.0004795028610293572,0.0,-0.0009407051780482689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001721673338420563,0.0,0.0,0.0,0.0,-0.0038322919839806017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011947112412674838,0.0009381493152520581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
