n_train,n_calib,n_test,accuracy,roc_auc,log_loss,brier,pos_rate,buy_hit_50,buy_n_50,buy_hit_55,buy_n_55,buy_hit_60,buy_n_60,ticker,horizon,fold,train_end_idx,test_start_idx
400,101,63,0.4444,0.5214,0.7526,0.2621,0.4444,0.3478,23,0.3478,23,0.5,2,ASTS,3,0,501,504
451,113,63,0.381,0.5629,1.2788,0.4555,0.6667,1.0,3,1.0,1,1.0,1,ASTS,3,1,564,567
501,126,63,0.5556,0.5765,0.6738,0.2418,0.4444,0.5,32,0.5,32,,0,ASTS,3,2,627,630
552,138,63,0.6825,0.66,0.6426,0.2301,0.3968,0.5714,35,0.5484,31,0.5484,31,ASTS,3,3,690,693
602,151,63,0.5873,0.6066,0.6701,0.2429,0.4444,0.5263,38,0.5263,38,0.4286,7,ASTS,3,4,753,756
652,164,63,0.3016,0.2808,3.1888,0.4072,0.5238,0.2609,23,0.2609,23,,0,ASTS,3,5,816,819
703,176,63,0.5079,0.5146,0.7139,0.2618,0.5238,0.625,8,0.0,3,0.0,3,ASTS,3,6,879,882
753,189,63,0.5556,0.5,0.688,0.2474,0.5556,0.5556,63,,0,,0,ASTS,3,7,942,945
804,201,63,0.3492,0.4783,0.7308,0.2688,0.3651,0.3548,62,0.3548,62,,0,ASTS,3,8,1005,1008
400,101,63,0.4127,0.4815,0.7227,0.2647,0.5714,0.0,1,,0,,0,AXP,3,0,501,504
451,113,63,0.5397,0.5637,1.1484,0.2667,0.6032,0.6216,37,0.6216,37,,0,AXP,3,1,564,567
501,126,63,0.6667,0.7402,1.7163,0.2313,0.6349,0.7436,39,0.7632,38,0.7632,38,AXP,3,2,627,630
552,138,63,0.6032,0.5868,1.8776,0.2903,0.5873,0.5968,62,0.5968,62,0.6512,43,AXP,3,3,690,693
602,151,63,0.4921,0.5806,1.6782,0.3079,0.4921,0.4921,63,0.4921,63,0.5082,61,AXP,3,4,753,756
652,164,63,0.6032,0.5737,0.667,0.2371,0.6032,0.6032,63,0.6032,63,0.75,16,AXP,3,5,816,819
703,176,63,0.5079,0.4922,2.4157,0.3413,0.6508,0.5962,52,0.7059,17,1.0,1,AXP,3,6,879,882
753,189,63,0.5397,0.5147,0.6909,0.2489,0.5397,0.5397,63,1.0,1,,0,AXP,3,7,942,945
804,201,63,0.4286,0.4078,2.1617,0.3305,0.4921,0.4545,55,0.5116,43,0.5116,43,AXP,3,8,1005,1008
400,101,63,0.6032,0.4524,0.9613,0.2662,0.6667,0.6441,59,0.6441,59,,0,AZN,3,0,501,504
451,113,63,0.5079,0.5,0.7126,0.2595,0.5079,0.5079,63,0.5079,63,0.5079,63,AZN,3,1,564,567
501,126,63,0.4762,0.4485,0.7039,0.2553,0.4762,0.4762,63,0.375,16,,0,AZN,3,2,627,630
