ticker,horizon,n_folds,accuracy_mean,accuracy_std,auc_mean,brier_mean,buy_hit_55_mean,buy_n_55_total,pos_rate_mean
GFS,5,10,0.5476,0.0715,0.5535,0.2807,0.4136,156,0.5032
NEE,5,26,0.5092,0.1098,0.5113,0.2749,0.5656,889,0.5446
D,5,26,0.5165,0.0868,0.5731,0.2811,0.5347,557,0.4994
CHTR,5,26,0.5067,0.111,0.5188,0.2731,0.5224,506,0.5098
BIO,5,26,0.503,0.1029,0.5313,0.2733,0.4925,642,0.5238
HOOD,5,11,0.531,0.1346,0.5141,0.2989,0.6198,449,0.5801
RDDT,5,1,0.6032,,0.5675,0.2379,0.7692,13,0.5079
PINS,5,20,0.5119,0.1118,0.5273,0.2662,0.5949,429,0.5032
MDB,5,26,0.5134,0.1128,0.5551,0.2707,0.6649,645,0.5366
RKLB,5,11,0.4877,0.1162,0.4835,0.2691,0.6179,263,0.5354
STLA,5,13,0.4603,0.0898,0.4794,0.2879,0.6468,275,0.4933
FIG,5,7,0.5329,0.1259,0.5337,0.2879,0.5176,196,0.458
AMC,5,26,0.5269,0.12,0.5128,0.2852,0.3718,248,0.4286
AFL,5,26,0.5171,0.1088,0.5441,0.2807,0.6668,758,0.5617
ALL,5,26,0.4829,0.1054,0.5028,0.2989,0.4614,767,0.5287
AIG,5,26,0.5244,0.1231,0.5303,0.2785,0.6139,717,0.5598
AMP,5,26,0.5574,0.1295,0.5578,0.2684,0.5936,1061,0.5824
AON,5,26,0.5153,0.093,0.544,0.2624,0.5757,671,0.5421
APO,5,26,0.5104,0.1016,0.5558,0.2636,0.5539,756,0.5415
ACGL,5,26,0.544,0.1257,0.5404,0.2786,0.5869,859,0.5549
ARES,5,26,0.5507,0.0993,0.549,0.2589,0.6171,1103,0.5733
AJG,5,26,0.569,0.1152,0.5352,0.2593,0.5852,1231,0.5824
AIZ,5,26,0.5201,0.1104,0.5576,0.2636,0.5231,634,0.5531
BAC,5,26,0.5336,0.1153,0.5512,0.2762,0.6764,697,0.5556
BLK,5,26,0.5208,0.1152,0.4997,0.2648,0.5844,859,0.558
BX,5,26,0.5165,0.1104,0.4944,0.2737,0.5055,753,0.544
BNY,5,24,0.4365,0.1334,0.5139,0.2892,0.5583,409,0.4742
BRO,5,26,0.5372,0.1242,0.5391,0.2718,0.5944,1060,0.5733
COF,5,26,0.5024,0.102,0.5551,0.2893,0.5842,704,0.5421
CBOE,5,26,0.5037,0.0999,0.5453,0.2927,0.6079,762,0.5488
SCHW,5,26,0.4872,0.1019,0.5322,0.2883,0.5992,734,0.5446
CB,5,26,0.5263,0.1036,0.5659,0.2724,0.6265,609,0.5452
CINF,5,26,0.4847,0.076,0.5473,0.273,0.5947,552,0.536
C,5,26,0.525,0.1208,0.5318,0.2774,0.6093,705,0.533
CFG,5,26,0.5025,0.1166,0.558,0.2733,0.587,748,0.5446
CME,5,26,0.5275,0.0938,0.5844,0.2725,0.5766,631,0.5165
ERIE,5,26,0.4841,0.1078,0.5238,0.2797,0.5481,616,0.5269
FDS,5,26,0.5336,0.0848,0.5478,0.2696,0.5608,1006,0.5317
FIS,5,26,0.4658,0.1061,0.5466,0.2815,0.4922,632,0.497
FITB,5,26,0.4976,0.0934,0.5336,0.2862,0.494,641,0.5336
BEN,5,26,0.5043,0.1373,0.569,0.2647,0.6426,427,0.5153
GPN,5,26,0.4805,0.1093,0.5101,0.279,0.5203,674,0.4927
GL,5,19,0.528,0.0859,0.5445,0.2611,0.6127,580,0.5647
GS,5,26,0.5324,0.1118,0.5225,0.2914,0.5641,823,0.555
HIG,5,26,0.5427,0.1212,0.5611,0.2697,0.6064,840,0.5531
HBAN,5,26,0.5415,0.0829,0.6101,0.2785,0.6744,616,0.5433
IBKR,5,26,0.5476,0.089,0.5191,0.259,0.5846,841,0.5678
ICE,5,26,0.5311,0.1268,0.5431,0.2734,0.6426,862,0.5604
IVZ,5,26,0.4994,0.1151,0.5366,0.2964,0.6154,474,0.522
JKHY,5,26,0.525,0.0697,0.5534,0.277,0.5778,725,0.5018
ABBV,5,26,0.5122,0.104,0.5025,0.2646,0.5228,800,0.5604
A,5,26,0.5134,0.1567,0.5418,0.2798,0.5959,629,0.5311
ALGN,5,26,0.4817,0.1159,0.4892,0.2665,0.4445,588,0.514
AMGN,5,26,0.5208,0.1043,0.5771,0.2722,0.6187,509,0.5183
BAX,5,26,0.5165,0.0959,0.5776,0.2689,0.5288,597,0.4988
BDX,5,26,0.5452,0.0728,0.5734,0.2693,0.5955,789,0.5238
TECH,5,26,0.5525,0.1132,0.5625,0.2767,0.4948,580,0.5079
BIIB,5,26,0.5067,0.1134,0.5526,0.2683,0.5628,337,0.4884
BMY,5,26,0.4982,0.1009,0.5312,0.2847,0.5756,508,0.503
CAH,5,26,0.544,0.0999,0.5539,0.2659,0.6488,898,0.5501
CRL,5,26,0.5324,0.1072,0.5432,0.2791,0.6258,723,0.544
COO,5,26,0.5012,0.1108,0.526,0.2793,0.5238,564,0.5238
CVS,5,26,0.4939,0.0986,0.5325,0.2806,0.5173,525,0.5214
DHR,5,26,0.5305,0.1158,0.5309,0.2643,0.5356,1006,0.5324
DVA,5,26,0.5177,0.1017,0.498,0.2816,0.5265,601,0.5464
DXCM,5,26,0.5299,0.1287,0.5155,0.2704,0.604,708,0.5305
EW,5,26,0.5067,0.1045,0.5116,0.2712,0.5206,721,0.5183
GILD,5,26,0.4591,0.117,0.5373,0.2902,0.6,480,0.5244
HCA,5,26,0.5568,0.1146,0.5668,0.2581,0.6018,822,0.5623
HSIC,5,26,0.4805,0.0778,0.5389,0.2743,0.4937,380,0.5012
IDXX,5,26,0.5098,0.1361,0.5207,0.2692,0.6591,535,0.5086
INCY,5,26,0.5244,0.1393,0.5202,0.2738,0.5515,402,0.4957
PODD,5,26,0.4866,0.1219,0.5553,0.2895,0.5979,508,0.5073
ISRG,5,26,0.4847,0.1154,0.5186,0.2667,0.5663,869,0.5311
IQV,5,26,0.5287,0.1004,0.5378,0.2716,0.5994,671,0.5085
LH,5,26,0.5171,0.0912,0.5124,0.2811,0.5,616,0.5372
MCK,5,26,0.5513,0.1035,0.5933,0.2779,0.6408,1079,0.5781
MDT,5,26,0.5037,0.1124,0.5284,0.2658,0.5227,543,0.4982
MRK,5,26,0.5,0.0987,0.5348,0.2723,0.4683,370,0.5134
MTD,5,26,0.5446,0.1311,0.5323,0.2753,0.5743,806,0.5537
DGX,5,26,0.5366,0.0723,0.5643,0.2676,0.5999,936,0.5409
REGN,5,26,0.4872,0.1065,0.5005,0.2782,0.5086,728,0.5415
RMD,5,26,0.5317,0.1294,0.4869,0.2768,0.5563,1075,0.5354
STE,5,26,0.522,0.0839,0.5569,0.2707,0.5779,816,0.5262
SYK,5,26,0.5098,0.0814,0.5301,0.2762,0.6351,697,0.5366
MMM,5,26,0.5085,0.0969,0.5308,0.2884,0.5349,421,0.5043
AOS,5,26,0.4976,0.1042,0.5498,0.2619,0.5691,459,0.5214
ALLE,5,26,0.4921,0.122,0.541,0.2735,0.623,604,0.5195
AME,5,26,0.5073,0.1156,0.5271,0.2876,0.5889,600,0.5525
ADP,5,26,0.5177,0.1207,0.5252,0.2792,0.5673,937,0.5452
BR,5,26,0.4915,0.1276,0.5086,0.2804,0.5202,756,0.5305
BLDR,5,26,0.525,0.1191,0.5318,0.2777,0.5848,691,0.5336
