n_train,n_calib,n_test,accuracy,roc_auc,log_loss,brier,pos_rate,buy_hit_50,buy_n_50,buy_hit_55,buy_n_55,buy_hit_60,buy_n_60,ticker,horizon,fold,train_end_idx,test_start_idx
752,188,63,0.6508,0.6847,0.6638,0.2354,0.4286,0.5676,37,0.6316,19,,0,AMZN,5,7,940,945
802,201,63,0.6508,0.3515,0.701,0.2516,0.6667,0.6786,56,0.6786,56,0.5312,32,AMZN,5,8,1003,1008
399,100,63,0.4127,0.7137,0.7598,0.2828,0.3968,0.4032,62,0.4035,57,0.4035,57,APLD,5,0,499,504
449,113,63,0.619,0.6559,0.6735,0.2403,0.5714,0.6429,42,,0,,0,APLD,5,1,562,567
500,125,63,0.5714,0.6832,2.0516,0.2896,0.5556,0.7222,18,0.7222,18,,0,APLD,5,2,625,630
550,138,63,0.5714,0.4569,0.9919,0.2825,0.5397,0.5574,61,0.5574,61,0.3333,12,APLD,5,3,688,693
600,151,63,0.6349,0.649,0.6687,0.238,0.4762,0.7333,15,1.0,3,1.0,2,APLD,5,4,751,756
651,163,63,0.4762,0.5855,0.6673,0.2418,0.619,1.0,6,1.0,4,1.0,4,APLD,5,5,814,819
701,176,63,0.381,0.5125,0.7428,0.2751,0.6349,1.0,1,1.0,1,1.0,1,APLD,5,6,877,882
752,188,63,0.5397,0.526,0.7138,0.2588,0.5556,0.5536,56,0.5588,34,0.8333,6,APLD,5,7,940,945
802,201,63,0.3016,0.2903,0.8331,0.3181,0.5079,0.3125,32,0.2667,30,0.2667,30,APLD,5,8,1003,1008
399,100,63,0.3175,0.6145,0.8163,0.3032,0.3175,0.3175,63,0.4839,31,0.4839,31,ARM,5,0,499,504
449,113,63,0.6032,0.4988,0.705,0.254,0.6825,0.6552,58,0.6923,39,,0,ARM,5,1,562,567
399,100,63,0.4127,0.4016,0.8159,0.306,0.3968,0.4,60,0.4,60,0.3333,36,ASAN,5,0,499,504
449,113,63,0.5079,0.5,0.6952,0.251,0.4921,,0,,0,,0,ASAN,5,1,562,567
500,125,63,0.4603,0.538,0.7111,0.2589,0.5397,0.5,18,0.5,18,,0,ASAN,5,2,625,630
550,138,63,0.6032,0.5,0.6931,0.25,0.6032,0.6032,63,,0,,0,ASAN,5,3,688,693
600,151,63,0.6508,0.6601,0.6626,0.2348,0.5238,0.6486,37,0.6486,37,1.0,3,ASAN,5,4,751,756
651,163,63,0.4286,0.5653,0.7044,0.2556,0.4286,0.4286,63,0.4773,44,,0,ASAN,5,5,814,819
701,176,63,0.5079,0.5,0.7256,0.2655,0.4444,0.4571,35,0.4571,35,0.4348,23,ASAN,5,6,877,882
752,188,63,0.381,0.4938,3.0841,0.3605,0.3333,0.35,60,0.3333,42,0.2857,14,ASAN,5,7,940,945
802,201,63,0.5714,0.5256,0.7485,0.2737,0.381,0.4211,19,0.4211,19,0.4211,19,ASAN,5,8,1003,1008
399,100,63,0.4921,0.5408,0.6933,0.2503,0.4444,0.463,54,0.4545,22,1.0,1,ASTS,5,0,499,504
449,113,63,0.1905,0.5033,9.0992,0.6462,0.8095,,0,,0,,0,ASTS,5,1,562,567
500,125,63,0.4127,0.5483,0.7306,0.2685,0.4127,0.4127,63,0.4386,57,,0,ASTS,5,2,625,630
550,138,63,0.4286,0.5247,0.986,0.3691,0.4286,0.4286,63,0.4286,63,0.4237,59,ASTS,5,3,688,693
600,151,63,0.4921,0.5258,1.2061,0.2806,0.5238,0.5185,27,0.7,10,0.7,10,ASTS,5,4,751,756
651,163,63,0.5556,0.38,0.7802,0.2847,0.5079,1.0,4,,0,,0,ASTS,5,5,814,819
